2	qid:1	1:16.238564	2:0.0	3:1.0	4:1.0	5:7.0	6:7.0	# 1586848503 thriller
2	qid:1	1:14.417665	2:0.0	3:5.0	4:5.0	5:7.0	6:7.0	# -1289582547 thriller
1	qid:1	1:14.417665	2:0.0	3:5.0	4:5.0	5:7.0	6:7.0	# -1273650296 thriller
1	qid:1	1:14.399878	2:0.0	3:5.0	4:5.0	5:4.0	6:4.0	# -1471737179 thriller
1	qid:1	1:14.1551485	2:0.0	3:6.0	4:6.0	5:9.0	6:9.0	# -2066136708 thriller
1	qid:1	1:13.992305	2:0.0	3:7.0	4:7.0	5:8.0	6:8.0	# 1951940824 thriller
4	qid:1	1:13.992305	2:0.0	3:7.0	4:7.0	5:8.0	6:8.0	# 353725446 thriller
1	qid:1	1:13.992305	2:0.0	3:7.0	4:7.0	5:8.0	6:8.0	# -441820781 thriller
1	qid:1	1:11.373326	2:0.0	3:5.0	4:5.0	5:4.0	6:4.0	# -2133001454 thriller
0	qid:1	1:0.0	2:9.758784	3:5.0	4:5.0	5:4.0	6:4.0	# -2097015006 thriller
1	qid:2	1:11.697605	2:1.6980159	3:38.0	4:18527.0	5:50.0	6:16435.0	# 1526376619 the police
1	qid:2	1:11.697605	2:0.0	3:38.0	4:18527.0	5:50.0	6:16435.0	# 1001050108 the police
0	qid:2	1:11.697605	2:0.0	3:38.0	4:18527.0	5:50.0	6:16435.0	# -884604193 the police
2	qid:2	1:11.456224	2:0.0	3:44.0	4:17971.0	5:26.0	6:15860.0	# -230423948 the police
2	qid:2	1:11.456224	2:0.0	3:44.0	4:17971.0	5:26.0	6:15860.0	# 1654152024 the police
0	qid:2	1:11.456224	2:0.0	3:44.0	4:17971.0	5:26.0	6:15860.0	# 532621310 the police
0	qid:2	1:11.454929	2:1.7049841	3:45.0	4:18589.0	5:47.0	6:16250.0	# 278887726 the police
1	qid:2	1:11.454929	2:0.0	3:45.0	4:18589.0	5:47.0	6:16250.0	# 758340105 the police
3	qid:2	1:11.423777	2:0.0	3:45.0	4:18589.0	5:47.0	6:16250.0	# -831498973 the police
4	qid:2	1:0.0	2:10.225046	3:44.0	4:17971.0	5:26.0	6:15860.0	# 1929496734 the police
